"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "125"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "105"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "77"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "56"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Rhodeus amarus" "61"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "97"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "230"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "225"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Alburnus alburnus" "50"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Alburnus alburnus" "52"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Alburnus alburnus" "59"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Alburnus alburnus" "56"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Alburnus alburnus" "50"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Alburnus alburnus" "52"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Alburnus alburnus" "53"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "207"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "176"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "202"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "120"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "112"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "110"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "85"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "127"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "116"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "130"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "127"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "131"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "121"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "110"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "163"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "62"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "78"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "83"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "76"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "73"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "77"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "84"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "90"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "87"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "86"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "77"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "77"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "82"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "68"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "72"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "75"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "65"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "56"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "65"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "66"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Alburnus alburnus" "57"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Alburnus alburnus" "60"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Alburnus alburnus" "56"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "135"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "154"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "137"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "90"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "95"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "166"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "205"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "208"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "167"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "183"
"PUI18" "2018" "533" "26842" "259144" "654139" "6721738" "26" "2018.08.27" "19.48.00" "2018.08.28" "07.17.00" "0.6" "0.8" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "132"
